High,Low
5523.64,5451.12
5490.81,5467.54
5483.14,5451.87
5472.88,5446.56
5490.66,5447.59
5478.31,5452.03
5505.53,5455.56
5490.38,5471.32
5488.5,5420.4
5432.39,5403.75
5441.93,5402.51
5447.25,5409.13
5375.95,5327.25
5365.79,5331.52
5375.08,5331.33
5362.35,5335.36
5354.16,5297.64
5298.8,5257.63
5302.11,5234.32
5280.33,5191.68
5260.21,5222.1
5282.27,5262.7
5315.91,5280.89
5311.65,5278.39
5341.88,5256.93
5323.18,5286.01
5324.32,5297.87
5325.32,5302.4
5305.45,5283.59
5325.49,5296.19
5311.76,5263.26
5250.37,5217.98
5237.26,5211.16
5239.66,5209.68
5215.3,5180.41
5191.95,5165.86
5200.23,5178.96
5181.0,5142.42
5139.12,5101.22
5073.21,5011.05
5096.12,5013.45
5110.83,5035.31
5123.49,5088.65
5114.62,5073.14
5057.75,4990.58
5089.48,5047.02
5076.12,5027.96
5038.84,4969.4
5019.02,4953.56
5056.66,5001.89
5077.96,5007.25
5079.84,5039.83
5168.43,5052.47
5175.03,5107.94
5211.78,5138.77
5178.43,5138.7
5224.81,5160.78
5219.57,5197.35
5222.18,5157.21
5256.59,5146.06
5228.75,5194.37
5208.34,5184.05
5263.95,5229.2
5264.85,5245.82
5249.26,5213.92
5235.16,5203.42
5229.09,5216.09
5246.09,5229.87
5261.1,5240.66
5226.19,5171.55
5180.31,5131.59
5175.6,5145.47
5136.86,5104.35
5176.85,5123.3
5179.14,5151.88
5179.87,5114.48
5124.66,5091.14
5189.26,5117.5
5165.62,5128.21
5127.97,5092.22
5114.54,5056.82
5149.67,5127.18
5140.33,5094.16
5104.99,5061.89
5077.37,5058.35
5080.69,5057.29
5097.66,5068.91
5111.06,5081.46
5094.39,5038.83
4983.21,4946.0
4993.71,4955.02
5038.7,4999.52
5032.72,4999.44
5002.52,4956.45
4971.3,4920.31
5048.39,5016.83
5030.06,5000.34
5000.4,4987.09
4999.89,4969.05
4957.77,4934.88
4957.19,4918.09
4975.29,4907.99
4906.97,4853.52
4906.75,4845.15
4931.09,4916.27
4929.31,4887.4
4906.69,4881.47
4898.15,4869.34
4903.68,4865.94
4866.48,4844.37
4868.41,4844.05
4842.07,4785.87
4785.79,4740.57
4744.23,4714.82
4782.34,4747.12
4802.4,4768.98
4798.5,4739.58
4790.8,4756.2
4765.47,4730.35
4764.54,4699.82
4721.49,4682.11
4726.78,4687.53
4729.29,4699.71
4754.33,4722.67
4788.43,4751.99
4793.3,4780.98
4785.39,4768.9
4784.72,4758.45
4772.94,4736.77
4748.71,4708.35
4778.01,4697.82
4768.69,4743.72
4749.52,4725.58
4725.53,4704.69
4738.57,4694.34
4709.69,4643.23
4643.93,4608.09
4623.71,4593.39
4609.23,4574.06
4590.92,4565.22
4590.74,4546.5
4578.56,4551.68
4572.37,4546.72
4599.39,4554.71
4569.89,4537.24
4587.64,4547.15
4568.14,4540.51
4560.52,4546.32
4560.31,4552.8
4568.43,4545.05
4542.14,4525.51
4557.11,4510.36
4520.12,4499.66
4511.99,4487.83
4521.17,4495.31
4508.67,4458.97
4421.76,4393.82
4418.03,4353.34
4393.4,4343.94
4391.2,4359.76
4386.26,4355.41
4372.21,4347.53
4373.62,4334.23
4319.72,4268.26
4245.64,4197.74
4195.55,4153.12
4177.47,4132.94
4156.7,4103.78
4183.6,4127.9
4232.42,4181.42
4259.38,4219.43
4255.84,4189.22
4276.56,4223.03
4339.54,4269.69
4364.2,4303.84
4393.57,4337.54
4383.33,4342.37
4377.1,4311.97
4385.85,4325.43
4378.64,4345.34
4385.46,4339.64
4341.73,4283.79
4324.1,4219.55
4267.13,4225.91
4268.5,4220.48
4281.15,4216.45
4300.58,4260.21
4333.15,4274.86
4317.27,4264.38
4292.07,4238.63
4313.01,4265.98
4338.51,4302.7
4357.4,4316.49
4375.7,4329.17
4461.03,4401.38
4449.85,4416.61
4466.36,4442.11
4497.98,4447.21
4511.99,4478.69
4479.39,4453.52
4487.11,4456.83
4490.77,4467.89
4473.53,4448.38
4457.81,4430.46
4490.35,4442.38
4514.29,4496.01
4541.25,4501.35
4532.26,4507.39
4521.65,4493.59
4500.14,4431.68
4439.56,4414.98
4418.46,4356.29
4458.3,4375.55
4443.18,4396.44
4418.59,4382.77
4407.55,4360.3
4381.82,4335.31
4421.17,4364.83
4449.95,4403.55
4478.87,4432.19
4490.33,4453.44
4476.23,4443.98
4527.37,4457.92
4502.44,4461.33
4503.31,4464.39
4519.84,4491.15
4540.34,4474.55
4519.49,4485.54
4550.93,4505.75
4584.62,4567.53
4594.22,4573.14
4590.16,4564.01
4607.07,4528.56
4582.47,4547.58
4580.62,4552.42
4563.41,4541.29
4555.0,4535.79
4564.74,4527.56
4578.43,4557.48
4562.3,4514.59
4532.85,4504.9
4527.76,4499.56
4517.38,4489.36
4488.34,4463.23
4443.64,4408.46
4412.6,4389.92
4440.39,4397.4
4422.62,4385.05
4454.06,4436.61
4456.46,4442.29
4458.48,4422.44
4398.39,4371.97
